Naam,Prijs
Tadej Pogačar,7000000
Mathieu van der Poel,6000000
Jasper Philipsen,5000000
Mads Pedersen,4500000
Wout van Aert,4500000
Jonathan Milan,3500000
Tom Pidcock,3000000
Matthew Brennan,3000000
Arnaud De Lie,2500000
Christophe Laporte,2500000
Tiesj Benoot,2500000
Tim Wellens,2500000
Matteo Jorgenson,2500000
Tim Merlier,2500000
Remco Evenepoel,2500000
Filippo Ganna,2000000
Olav Kooij,2000000
Ben Healy,2000000
Paul Magnier,2000000
Jasper Stuyven,1500000
Stefan Küng,1500000
Florian Vermeersch,1500000
Nils Politt,1500000
Neilson Powless,1500000
Michael Matthews,1500000
Biniam Girmay,1500000
Mikkel Bjerg,1500000
Matej Mohorič,1500000
Romain Grégoire,1500000
Mattias Skjelmose,1500000
Benoît Cosnefroy,1500000
Kaden Groves,1500000
Mathias Vacek,1500000
Toms Skujiņš,1000000
Mike Teunissen,1000000
Matteo Trentin,1000000
Jhonatan Narváez,1000000
Silvan Dillier,1000000
Jordi Meeus,1000000
Danny van Poppel,1000000
Thibau Nys,1000000
Kévin Vauquelin,1000000
João Almeida,1000000
Isaac Del Toro,1000000
Adam Yates,1000000
Brandon McNulty,1000000
Felix Großschartner,1000000
Pavel Bittner,1000000
Maxim Van Gils,1000000
Jonas Vingegaard,1000000
Gianni Vermeersch,750000
Dylan van Baarle,750000
Luca Mozzato,750000
Valentin Madouas,750000
Laurence Pithie,750000
Dylan Teuns,750000
Hugo Hofstetter,750000
Laurenz Rex,750000
Fred Wright,750000
Davide Ballerini,750000
Søren Wærenskjold,750000
Edward Planckaert,750000
Michael Gogl,750000
Florian Sénéchal,750000
Søren Kragh Andersen,750000
Giulio Ciccone,750000
Marijn van den Berg,750000
Axel Laurance,750000
Axel Zingle,750000
Oscar Riesebeek,750000
Lenny Martinez,750000
Lennert Van Eetvelt,750000
Oscar Onley,750000
Tobias Bayer,750000
Yves Lampaert,500000
Rasmus Tiller,500000
Anthony Turgis,500000
John Degenkolb,500000
Ben Turner,500000
Kasper Asgreen,500000
Julian Alaphilippe,500000
Jan Tratnik,500000
Magnus Cort,500000
Markus Hoelgaard,500000
Edward Theuns,500000
Stefan Bissegger,500000
Jonas Rutsch,500000
Pascal Eenkhoorn,500000
Piet Allegaert,500000
Michael Valgren,500000
Bert Van Lerberghe,500000
Cees Bol,500000
Iván García Cortina,500000
Owain Doull,500000
Jonas Abrahamsen,500000
Oliver Naesen,500000
Marco Haller,500000
Quinn Simmons,500000
Matis Louvel,500000
Alexey Lutsenko,500000
Jake Stewart,500000
Bob Jungels,500000
Taco van der Hoorn,500000
Jenthe Biermans,500000
Johan Jacobs,500000
Michał Kwiatkowski,500000
Max Walscheid,500000
Jasper De Buyst,500000
Tom Van Asbroeck,500000
Gianni Moscon,500000
Amaury Capiot,500000
Luke Durbridge,500000
Timo Roosen,500000
Marc Hirschi,500000
Alberto Bettiol,500000
